No.,Description,Quantity, Unit Price ,Item Category Code,Product Model
POWER-S60120,HUAWEI POWER S 60KW SOLAR INVERTER+BATTERY 120KWH,1," 10,030,000 ",HUAWEI,INVERTER
POWER-S6080,HUAWEI POWER S 60KW SOLAR INVERTER+BATTERY 80KWH,0," 9,040,000 ",HUAWEI,INVERTER
POWER-S4080,HUAWEI POWER S 40KW SOLAR INVERTER+BATTERY 80KWH,1," 7,610,000 ",HUAWEI,INVERTER
POWER-S3060,HUAWEI POWER S 30KW SOLAR INVERTER+BATTERY 60KWH,1," 5,180,000 ",HUAWEI,INVERTER
POWER-S1530,HUAWEI POWER S 15KW SOLAR INVERTER+BATTERY 30KWH,0," 2,870,000 ",HUAWEI,INVERTER
EST2000,ULTRASUN CWS2000 SOLAR HOT WATER SYSTEM,0," 2,570,000 ",BURAL,SHW
POWER-S1020,HUAWEI POWER S 10KW SOLAR INVERTER+BATTERY 20KWH,0," 2,440,000 ",HUAWEI,INVERTER
EST1500,ULTRASUN CWS1500 SOLAR HOT WATER SYSTEM,0," 1,642,000 ",BURAL,SHW
SUN2000-330KTL-H2,HUAWEI SUN2000 330KTL-H2 330KW 3PH SOLAR INVERTER,10," 1,450,000 ",HUAWEI,INVERTER
EST1000,ULTRASUN CWS1000 SOLAR HOT WATER SYSTEM,0," 1,190,000 ",BURAL,SHW
SP15K,OPTI SP15K PREMIUM 3PH,1," 877,000 ",ZMISC.,OPTI
SV3/45T,DAYLIFF SV3 45KW 3PH SUNVERTER,3," 870,000 ",DAYLIFF,SUNVERTER
SUN2000-115KTL-M2,HUAWEI SUN2000 115KTL-M2 115KW 3PH SOLAR INVERTER,16," 820,000 ",HUAWEI,INVERTER
ESS500,ULTRASUN CWS0500 VERTICAL SOLAR HOT WATER SYSTEM,0," 816,000 ",BURAL,SHW
SMARTA-CU2000D,HUAWEI SMART ARRAY CONTROLLER CU2000D-D-D01,2," 780,000 ",HUAWEI,ACCESSORY
SV3/37T,DAYLIFF SV3 37KW 3PH SUNVERTER,4," 740,000 ",DAYLIFF,SUNVERTER
SUN2000-100KTL-M2,HUAWEI SUN2000 100KTL-M2 100KW 3PH SOLAR INVERTER,20," 710,000 ",HUAWEI,INVERTER
SUN2000-100KTL-M1,HUAWEI SUN2000 100KTL-M1 100KW 3PH SOLAR INVERTER,2," 650,000 ",HUAWEI,INVERTER
SV3/30T,DAYLIFF SV3 30KW 3PH SUNVERTER,2," 600,000 ",DAYLIFF,SUNVERTER
80KTL3-LV,DAYLIFF GROWATT 80KW 3PH GRID-TIE INVERTER,1," 580,000 ",DAYLIFF,GROWATT
POWERADAPT72A,GRUNDFOS POWERADAPT 72A CONTROLLER,0," 566,000 ",GRUNDFOS,SOLAR SP
ESS200,ULTRASUN CWS0300 VERTICAL SOLAR HOT WATER SYSTEM,0," 565,000 ",BURAL,SHW
RSI220,GRUNDFOS RSI 22000 22KW SOLAR INVERTER,0," 564,000 ",GRUNDFOS,SOLAR SP
DSKIT-X2200C09,DAYLIFF SUNFLEX 2200C9 SOLAR PUMPING KIT,0," 547,000 ",DAYLIFF,SOLAR PUMP
DSKIT-B2200C20,DAYLIFF SUNFLO-B 2200C20 SOLAR PUMPING KIT,0," 541,000 ",DAYLIFF,SOLAR PUMP
SUN2000-036KTL-M3,HUAWEI SUN2000 36KTL-M3 36KW 3PH SOLAR INVERTER,2," 520,000 ",HUAWEI,INVERTER
SUN2000-040KTL-M3,HUAWEI SUN2000 40KTL-M3 40KW 3PH SOLAR INVERTER,0," 510,000 ",HUAWEI,INVERTER
SQF3-105,GRUNDFOS SQF 3-105 SOLAR PUMP,0," 502,000 ",GRUNDFOS,SOLAR SP
SQF7-55,GRUNDFOS SQF 7-55 SOLAR PUMP,0," 502,000 ",GRUNDFOS,SOLAR SP
SMA-SI8M,SUNNY ISLAND MASTER SI8H-13 8kW BATTERY INVERTER,0," 500,000 ",SMA,INVERTER
SQF5-70,GRUNDFOS SQF 5-70 SOLAR PUMP,0," 500,000 ",GRUNDFOS,SOLAR SP
SPSTR-000058,10000LTRS 3M HIGH STEEL TANK SUPPORT STRUCTURE,0," 468,000 ",DAYLIFF,SOLAR FAB
SV3/22T,DAYLIFF SV3 22KW 3PH SUNVERTER,18," 452,000 ",DAYLIFF,SUNVERTER
50KTL3-LV,DAYLIFF GROWATT 50KW 3PH GRID-TIE INVERTER,0," 450,000 ",DAYLIFF,GROWATT
CRF03-9,GRUNDFOS CRNFLEX 3-11 SOLAR PUMP,0," 450,000 ",GRUNDFOS,SOLAR CR
POWERADAPT31A,GRUNDFOS POWERADAPT 31A CONTROLLER,0," 442,000 ",GRUNDFOS,SOLAR SP
LC07A,LORENTZ PS7K2 5.5kVA CONTROLLER,0," 440,000 ",LORENTZ,AC-CONTROL
SUN2000-050KTL-M0,HUAWEI SUN2000 50KTL-M0 50KW 3PH SOLAR INVERTER,1," 430,000 ",HUAWEI,INVERTER
SUN2000-050KTL-M3,HUAWEI SUN2000 50KTL-M3 50KW 3PH SOLAR INVERTER,19," 430,000 ",HUAWEI,INVERTER
RSI150,GRUNDFOS RSI 15000 15KW SOLAR INVERTER,1," 420,000 ",GRUNDFOS,SOLAR SP
SMA-ST25,SUNNY TRIPOWER STP25000TL INVERTER,0," 400,000 ",SMA,INVERTER
